timestamp,text,sent_score
2026-04-01 09:30:05,Strong open after upbeat earnings call,0.82
2026-04-01 09:30:32,Investors like the revenue growth commentary,0.74
2026-04-01 09:31:10,Guidance still feels a bit cautious,-0.18
2026-04-01 09:31:44,Management sounded confident about margins,0.61
2026-04-01 09:32:08,Supply chain risk remains a concern,-0.55
2026-04-01 09:33:12,Analysts are reacting positively to the quarter,0.47
2026-04-01 09:33:48,Some traders worry demand could soften,-0.29
2026-04-01 09:35:03,Volume of discussion is picking up fast,0.15
2026-04-01 09:35:29,Very strong sentiment around guidance raise,0.89
2026-04-01 09:36:17,Concerns about inflation pressure remain,-0.41
