event_id,ticker,company_name,created_at,author_handle,text_raw,query_used,post_uri,has_cashtag,has_plain_ticker,has_company,has_earnings_term,match_score,relevance_label
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-04-09T23:46:25.860Z,kautious.com,"Also worth noting: this wasn’t just $PLTR. $CRM, $ADBE and $NOW were weak too as $IGV/software sold off broadly. Valuation remains the swing risk here as bears keep pointing to ~114x forward earnings and 100x+ sales.",CRM earnings,at://did:plc:2aqybdhkgskcgdhm5gh3coqw/app.bsky.feed.post/3mj3yjybvez2p,True,True,False,True,3,high
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-04-01T12:16:43.000Z,nasdaq.activitypub.awakari.com.ap.brid.gy,"These Analysts Slash Their Forecasts On nCino Following Q4 Results nCino Inc (NASDAQ:NCNO) reports strong Q4 results and issues upbeat guidance. Company also appoints new CRO. Analysts revise price...

#CRM #Earnings #NCNO #News #PD #PT #Changes #Price #Target […] 

[Original post on benzinga.com]",CRM earnings,at://did:plc:sp4n47vvnrezv5u2gwkjk76m/app.bsky.feed.post/3migrx7mtghh2,False,True,False,True,2,high
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-03-30T03:49:48.108372Z,epsteinweb.bsky.social,"EFTA02154417.jpg
#epsteinweb #efta02154417
https://epsteinweb.org
Available in the iOS app store now!
https://apps.apple.com/us/app/epstein-web/id6758880661",CRM earnings,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3miaqz2fq4r2y,False,False,False,True,1,medium
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-03-26T12:49:30.119Z,stockoscope.bsky.social,"Overall Analyst Sentiment: 3.8/5.0

Bullish outlook based on:
• Consensus ratings
• Price target analysis
• Earnings growth forecasts
• Financial health metrics
• Analyst coverage depth

This unified score synthesizes multiple analyst signals into one metric.

$CRM",CRM earnings,at://did:plc:lb5wvniv4geet6rrnhm5pz7o/app.bsky.feed.post/3mhxncgclh42r,True,True,False,True,3,high
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-03-26T12:49:25.549Z,stockoscope.bsky.social,"Earnings Expectations

Analysts expect $46.1B revenue and $13.19 EPS in 2027, growing to $50.5B revenue and $14.88 EPS by 2028.

These forward estimates drive price target calculations and sentiment.

$CRM",CRM earnings,at://did:plc:lb5wvniv4geet6rrnhm5pz7o/app.bsky.feed.post/3mhxncbxdhe24,True,True,False,True,3,high
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-03-26T12:48:57.552Z,stockoscope.bsky.social,"$CRM Analyst Estimates Thread

What are Wall Street analysts saying about Salesforce, Inc.?

- What are the price targets?
- How are ratings distributed?
- What's the financial health score?
- Where are earnings headed?

Here's what we found 🧵",CRM earnings,at://did:plc:lb5wvniv4geet6rrnhm5pz7o/app.bsky.feed.post/3mhxnbhm7xm24,True,True,False,True,3,high
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-03-25T03:13:00.594039Z,epsteinweb.bsky.social,"Parts 1-2/2 — EFTA02112118.jpg
#epsteinweb #efta02112118
https://epsteinweb.org
Available in the iOS app store now!
https://apps.apple.com/us/app/epstein-web/id6758880661",CRM earnings,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mhu4mnvv5v2j,False,False,False,True,1,medium
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-03-24T10:14:36.828919Z,epsteinweb.bsky.social,"EFTA02090754.jpg
#epsteinweb #efta02090754
https://epsteinweb.org
Available in the iOS app store now!
https://apps.apple.com/us/app/epstein-web/id6758880661",CRM earnings,at://did:plc:ndjyym3ihrqu3g25gdztefrv/app.bsky.feed.post/3mhsdpmqmhp27,False,False,False,True,1,medium
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-03-23T12:27:55.635Z,stockoscope.bsky.social,"Q 9/10 - Is the price reasonable?

Valuation multiples show how market pricing compares to earnings, book value, and sales.

$CRM",CRM earnings,at://did:plc:lb5wvniv4geet6rrnhm5pz7o/app.bsky.feed.post/3mhq2p3fljc2b,True,True,False,True,3,high
CRM_Q4_2022_2022-03-11,CRM,"SALESFORCE.COM,",2026-03-20T01:48:54.451455+00:00,bbottomcapital.bsky.social,"Added to $NVDA, $ACN, and $CRM today on high-conviction signals. Skipped $BA due to low confidence and geopolitical noise. Portfolio sitting at $1,005 cash with 11 positions. Waiting on $MU earnings after close.
Dashboard",CRM earnings,at://did:plc:pklrl546v5v2zzoyq7wyaam2/app.bsky.feed.post/3mhhflnhu6n2s,True,True,False,True,3,high
